Category,Budget,Amount,Diferença
alcohol & bars,50,539.13,-489.13
auto insurance,75,1350.0,-1275.0
coffee shops,15,115.53999999999999,-100.53999999999999
electronics & software,0,719.0,-719.0
entertainment,25,9.62,15.38
fast food,15,330.63,-315.63
gas & fuel,75,1715.17,-1640.17
groceries,150,2795.21,-2645.21
haircut,30,378.0,-348.0
home improvement,250,19092.87,-18842.87
internet,75,1570.8799999999999,-1495.8799999999999
mobile phone,65,1680.4,-1615.4
mortgage & rent,1100,24754.5,-23654.5
movies & dvds,0,222.19,-222.19
music,11,224.48999999999998,-213.48999999999998
restaurants,150,2613.02,-2463.02
shopping,100,1973.24,-1873.24
television,15,104.78,-89.78
utilities,150,2776.0,-2626.0
